ENMU4062, AR-GE VE İNOVASYON PROJELERİNİN YÖNETİMİ ,3,5,"
S                                ",2/2/0
ENMU4030, BİTİRME PROJESİ II ,2,8,"
Z                                ",0/4/0
ENMU4056, DENEY TASARIMI ,3,4,"
S                                ",3/0/0
ENMU4060, HİZMET SİSTEMLERİ YÖNETİMİ ,3,4,"
S                                ",3/0/0
ENMU4031, İSTATİSTİKSEL KALİTE KONTROL ,3,5,"
Z                                ",2/2/0
ENMU4924, İŞ HUKUKU ,2,2,"
S                                ",2/0/0
ENMU4904, İŞ SAĞLIĞI VE GÜVENLİĞİ ,2,2,"
S                                ",2/0/0
ENMU4052, MODERN ÜRETİM SİSTEMLERİ ,3,4,"
S                                ",3/0/0
ENMU4059, PARAMETRİK OLMAYAN İSTATİSTİK YÖNTEMLER ,3,4,"
S                                ",3/0/0
ODSK0001, ŞEHİR VE KÜLTÜR-İSTANBUL ,2,2,"
S                                ",2/0/0
MUHG0001, UYGULAMALI GİRİŞİMCİLİK ,3,5,"
S                                ",2/2/0
ENMU4036, YAPAY ZEKAYA GİRİŞ ,3,4,"
S                                ",3/0/0
