KİMYA-BİYOLOJİ MÜHENDİSLİĞİ
GÜZ DÖNEMİ,,BAHAR DÖNEMİ
1. SINIF
MATH 106,Zorunlu Alan,3,,TURK 100,Ortak Çekirdek,4
PHYS 101,Zorunlu Alan,3,,ELEC 100,Zorunlu Alan,3
PHYS 101L,Zorunlu Alan,1,,MATH 107,Zorunlu Alan,3
COMP 125,Zorunlu Alan,3,,MATH 203,Zorunlu Alan,3
CPAP 100,Ortak Çekirdek,0,,PHYS 102,Zorunlu Alan,3
,,,,PHYS 102L,Zorunlu Alan,1
2. SINIF
Ders,Tipi,Kredi,,Ders,Tipi,Kredi
ACWR 106,Ortak Çekirdek,3,,ELEC 202,Zorunlu Alan,4
ELEC 201,Zorunlu Alan,4,,ELEC 206,Zorunlu Alan,3
ELEC 204,Zorunlu Alan,4,,ENGR 200,Zorunlu Alan,4
MBGE 200,Zorunlu Alan,4,,PHMA,Zorunlu Alan,3
MATH 204,Zorunlu Alan,3,,ELEC 230,Zorunlu Alan,3
,,,,ELEC 291,Zorunlu Alan,0
3. SINIF
Ders,Tipi,Kredi,,Ders,Tipi,Kredi
HIST 300,Ortak Çekirdek,4,,ALAN-F,Alan Seçmeli – Foundations,3
SOSC,Ortak Çekirdek,3,,ALAN-A,Alan Seçmeli – Applications,3
SEÇMELİ,Genel Seçmeli,3,,ASIU,Ortak Çekirdek,3
ELEC 301,Zorunlu Alan,3,,ECSA,Ortak Çekirdek,3
ELEC 310,Zorunlu Alan,4,,SEÇMELİ,Genel Seçmeli,3
,,,,ELEC391,Zorunlu Alan,0
4. SINIF
Ders,Tipi,Kredi,,Ders,Tipi,Kredi
ELEC 491,Zorunlu Alan,4,,ALAN,Alan Seçmeli,3
AREA-F,Alan Seçmeli – Foundations,3,,ALAN,Alan Seçmeli,3
AREA-A,Alan Seçmeli – Applications,3,,SEÇMELİ,Genel Seçmeli,3
ETHC,Ortak Çekirdek,3,,SEÇMELİ,Genel Seçmeli,3
SEÇMELİ,Genel Seçmeli,3,,SEÇMELİ,Genel Seçmeli,3
,,,,,,
Mezuniyet için gerekli toplam kredi 137 (ALIS ve UNIV dahil)
Ders Sayısı
"Ortak Çekirdek Dersleri Sayısı: 10 (CPAP dahil,ALIS ve UNIV hariç)"
Alan Dersleri Sayısı: 30 (0 kredilik staj dersleri dahil)
Seçmeli Dersler Sayısı: 6
Toplam Ders Sayısı: 47 (ALIS ve UNIV hariç)
ENDÜSTRİ MÜHENDİSLİĞİ (Güz 2020’den itibaren)
GÜZ DÖNEMİ,,BAHAR DÖNEMİ
1. SINIF
Ders,Tipi,Kredi,,Ders,Tipi,Kredi
ACWR 101,Ortak Çekirdek,3,,HUMS,Ortak Çekirdek,3
CHEM 103,Zorunlu Alan,3,,MATH 107,Zorunlu Alan,3
CHEM 103L,Zorunlu Alan,1,,MATH 203,Zorunlu Alan,3
MATH 106,Zorunlu Alan,3,,PHYS 102,Zorunlu Alan,3
PHYS 101,Zorunlu Alan,3,,PHYS 102L,Zorunlu Alan,1
PHYS 101L,Zorunlu Alan,1,,COMP 125,Zorunlu Alan,3
INDR 100,Zorunlu Alan,3,,TURK 100,Ortak Çekirdek,4
CPAP 100,Ortak Çekirdek,0,,,,
2. SINIF
Ders,Tipi,Kredi,,Ders,Tipi,Kredi
ENGR 200,Zorunlu Alan,4,,MBGE 200,Zorunlu Alan,3
INDR 201,Zorunlu Alan,3,,INDR 202,Zorunlu Alan,3
MATH 204,Zorunlu Alan,3,,INDR 252,Zorunlu Alan,4
INDR 220,Zorunlu Alan,3,,INDR 262,Zorunlu Alan,4
ECSA,Ortak Çekirdek,3,,ACWR 106,Ortak Çekirdek,3
,,,,INDR 291,Zorunlu Alan,0
3. SINIF
Ders,Tipi,Kredi,,Ders,Tipi,Kredi
INDR 343,Zorunlu Alan,3,,INDR 344,Zorunlu Alan,4
INDR 363,Zorunlu Alan,3,,INDR 372,Zorunlu Alan,3
INDR 371,Zorunlu Alan,3,,SEÇMELİ,Genel Seçmeli,3
HIST 300,Ortak Çekirdek,4,,SOSC,Ortak Çekirdek,3
ASIU,Ortak Çekirdek,3,,ETHC,Ortak Çekirdek,3
,,,,INDR391,Zorunlu Alan,0
4. SINIF
Ders,Tipi,Kredi,,Ders,Tipi,Kredi
INDR 481,Zorunlu Alan,3,,INDR 491,Zorunlu Alan,4
ALAN,Alan Seçmeli,3,,ALAN,Alan Seçmeli,3
ALAN,Alan Seçmeli,3,,SEÇMELİ,Genel Seçmeli,3
SEÇMELİ,Genel Seçmeli,3,,SEÇMELİ,Genel Seçmeli,3
SEÇMELİ,Genel Seçmeli,3,,SEÇMELİ,Genel Seçmeli,3
,,,,,,
Mezuniyet için gerekli toplam kredi 135 (ALIS ve UNIV dahil)
Ders Sayısı
"Ortak Çekirdek Dersleri Sayısı: 10 (CPAP dahil, ALIS ve UNIV hariç)"
Alan Dersleri Sayısı: 31 (0 kredilik staj dersleri dahil)
