
ENM432, Yalın Düşünce ve Yalın Üretim Yönetimi  (TR) ,Mesleki Seçmeli Dersler,3,4.5
ENM440, Introduction to Data Mining (Veri Madenciliğine Giriş) (ENG) (ENG) ,Mesleki Seçmeli Dersler,3,4.5
ENM444, Tedarik Zinciri Modelleme ve Analizi  (TR) ,Mesleki Seçmeli Dersler,3,4.5
ENM446, Kurumsal Kaynak Planlaması  (TR) ,Mesleki Seçmeli Dersler,3,4.5
ENM448, Project Planning and Management (Proje Planlama ve Yönetimi) (ENG) (ENG) ,Mesleki Seçmeli Dersler,3,6.0
ENM450, Introduction to Metaheu. Optimiza.(İleri Sezgisel Eniyi.Gi.) (ENG) (ENG) ,Mesleki Seçmeli Dersler,3,6.0
İST411, Time Series Analysis (ENG) (ENG) ,Mesleki Seçmeli Dersler,4,5.0

BEÖ155, Beden Eğitimi  (TR) ,Seçmeli Dersler,2,2.0
KÜL199, Kültürel Etkinlikler  (TR) ,Seçmeli Dersler,2,2.0
İLT201, Bireylerarası İletişim  (TR) ,Seçmeli Dersler,3,4.5
